year,month,day,weekday,ws_1,prcp_1,snwd_1,temp_2,temp_1,average,actual,friend
2011,1,1,Sat,4.92,0,0,36,37,45.6,40,40
2011,1,2,Sun,5.37,0,0,37,40,45.7,39,50
2011,1,3,Mon,6.26,0,0,40,39,45.8,42,42
2011,1,4,Tues,5.59,0,0,39,42,45.9,38,59
2011,1,5,Wed,3.8,0.03,0,42,38,46,45,39
2011,1,6,Thurs,4.92,0.12,0,38,45,46.1,49,52
2011,1,7,Fri,8.72,0.17,0,45,49,46.2,48,62
2011,1,8,Sat,10.96,0.37,0,49,48,46.3,40,65
2011,1,9,Sun,5.82,0.03,0,48,40,46.4,39,53
2011,1,10,Mon,5.59,0.02,0,40,39,46.5,38,40
2011,1,11,Tues,8.72,0,0,39,38,46.7,39,59
2011,1,12,Wed,11.18,0.3,0,38,39,46.8,47,47
2011,1,13,Thurs,10.29,0.81,0,39,47,46.9,53,59
2011,1,14,Fri,11.86,0.82,0,47,53,47,54,39
2011,1,15,Sat,13.42,0.29,0,53,54,47.1,52,38
2011,1,16,Sun,8.05,0.45,0,54,52,47.3,55,45
2011,1,17,Mon,17,0.27,0,52,55,47.4,50,49
2011,1,18,Tues,15.88,0.04,0,55,50,47.5,42,43
2011,1,19,Wed,7.83,0.08,0,50,42,47.6,45,60
2011,1,20,Thurs,3.13,0,0,42,45,47.7,44,52
2011,1,21,Fri,6.93,0.05,0,45,44,47.8,49,64
2011,1,22,Sat,11.63,0.51,0,44,49,47.9,49,32
2011,1,23,Sun,4.47,0,0,49,49,48,46,40
2011,1,24,Mon,3.58,0.04,0,49,46,48.1,48,48
2011,1,25,Tues,7.16,0.21,0,46,48,48.2,50,41
2011,1,26,Wed,5.37,0,0,48,50,48.3,54,31
2011,1,27,Thurs,2.01,0,0,50,54,48.4,50,34
2011,1,28,Fri,2.24,0,0,54,50,48.4,52,29
2011,1,29,Sat,9.17,0.14,0,50,52,48.5,48,34
2011,1,30,Sun,7.61,0.24,0,52,48,48.6,44,35
2011,1,31,Mon,10.74,0,0,48,44,48.7,44,53
2011,2,1,Tues,8.28,0,0,44,44,48.8,46,59
2011,2,2,Wed,7.16,0,0,44,46,48.8,51,36
2011,2,3,Thurs,2.91,0,0,46,51,48.9,49,38
2011,2,4,Fri,10.51,0.01,0,51,49,49,50,36
2011,2,5,Sat,14.76,0.07,0,49,50,49.1,47,38
2011,2,6,Sun,3.36,0.08,0,50,47,49.1,50,63
2011,2,7,Mon,12.08,0.25,0,47,50,49.2,48,58
2011,2,8,Tues,6.71,0.05,0,50,48,49.3,46,48
2011,2,9,Wed,5.82,0,0,48,46,49.4,45,66
2011,2,10,Thurs,3.13,0,0,46,45,49.4,47,58
2011,2,11,Fri,2.91,0,0,45,47,49.5,47,69
2011,2,12,Sat,3.8,0,0,47,47,49.6,54,48
2011,2,13,Sun,14.54,0.37,0,47,54,49.7,52,61
2011,2,14,Mon,7.38,0.24,0,54,52,49.8,50,32
2011,2,15,Tues,9.84,0.54,0,52,50,49.9,46,39
2011,2,16,Wed,7.61,0.09,0,50,46,49.9,44,38
2011,2,17,Thurs,10.07,0.04,0,46,44,50,44,41
2011,2,18,Fri,7.61,0.11,0,44,44,50.1,49,60
2011,2,19,Sat,6.04,0,0,44,49,50.2,43,32
2011,2,20,Sun,14.32,0,0,49,43,50.4,45,42
2011,2,21,Mon,5.37,0,0,43,45,50.5,45,46
2011,2,22,Tues,7.38,0.03,0,45,45,50.6,44,70
2011,2,23,Wed,7.83,0.04,0,45,44,50.7,37,71
2011,2,24,Thurs,12.08,0.24,0,44,37,50.8,35,58
2011,2,25,Fri,9.84,0,3,37,35,50.9,31,57
2011,2,26,Sat,10.29,0,1,35,31,51.1,34,45
2011,2,27,Sun,9.62,0,0,31,34,51.2,42,59
2011,2,28,Mon,18.57,0.47,0,34,42,51.3,40,49
2011,3,1,Tues,12.3,0.42,0,42,40,51.5,44,45
2011,3,2,Wed,6.93,0.24,0,40,44,51.6,50,51
2011,3,3,Thurs,12.3,0.07,0,44,50,51.8,48,46
2011,3,4,Fri,10.96,0.22,0,50,48,51.9,49,52
2011,3,5,Sat,10.07,0.12,0,48,49,52.1,50,67
2011,3,6,Sun,6.93,0.02,0,49,50,52.2,47,52
2011,3,7,Mon,5.82,0,0,50,47,52.4,48,46
2011,3,8,Tues,4.03,0,0,47,48,52.5,52,42
2011,3,9,Wed,10.07,0.16,0,48,52,52.7,52,50
2011,3,10,Thurs,11.63,1.47,0,52,52,52.8,53,41
2011,3,11,Fri,20.8,0.55,0,52,53,53,53,58
2011,3,12,Sat,10.74,0,0,53,53,53.1,48,41
2011,3,13,Sun,5.82,0.41,0,53,48,53.3,53,33
2011,3,14,Mon,12.3,0.33,0,48,53,53.4,53,36
2011,3,15,Tues,12.97,0.12,0,53,53,53.6,55,35
2011,3,16,Wed,11.63,0.37,0,53,55,53.7,48,65
2011,3,17,Thurs,12.97,0.09,0,55,48,53.9,51,74
2011,3,18,Fri,5.37,0,0,48,51,54,50,50
2011,3,19,Sat,8.95,0.27,0,51,50,54.2,54,58
2011,3,20,Sun,4.47,0,0,50,54,54.3,50,66
2011,3,21,Mon,13.87,0.01,0,54,50,54.5,50,45
2011,3,22,Tues,8.72,0.01,0,50,50,54.6,51,71
2011,3,23,Wed,6.93,0,0,50,51,54.7,62,72
2011,3,24,Thurs,11.86,0,0,51,62,54.9,61,59
2011,3,25,Fri,8.72,0.23,0,62,61,55,55,72
2011,3,26,Sat,8.05,0.33,0,61,55,55.2,50,39
2011,3,27,Sun,5.82,0.15,0,55,50,55.3,51,51
2011,3,28,Mon,7.61,0.28,0,50,51,55.5,51,56
2011,3,29,Tues,9.62,0.14,0,51,51,55.6,49,50
2011,3,30,Wed,8.5,0.12,0,51,49,55.7,51,54
2011,3,31,Thurs,15.43,0.26,0,49,51,55.9,54,38
2011,4,1,Fri,14.54,0.32,0,51,54,56,48,58
2011,4,2,Sat,5.82,1.13,0,54,48,56.2,48,47
2011,4,3,Sun,8.72,0.37,0,48,48,56.3,49,47
2011,4,4,Mon,7.38,0.06,0,48,49,56.5,47,43
2011,4,5,Tues,10.29,0.24,0,49,47,56.6,46,54
2011,4,6,Wed,15.88,0.23,0,47,46,56.8,48,60
2011,4,7,Thurs,11.86,0.12,0,46,48,56.9,49,57
2011,4,8,Fri,4.92,0.08,0,48,49,57.1,54,43
2011,4,9,Sat,3.13,0,0,49,54,57.2,55,41
2011,4,10,Sun,8.5,0.01,0,54,55,57.4,55,45
2011,4,11,Mon,11.86,0.16,0,55,55,57.6,51,70
2011,4,12,Tues,13.42,0,0,55,51,57.7,53,60
2011,4,13,Wed,4.47,0,0,51,53,57.9,48,43
2011,4,14,Thurs,9.4,0.17,0,53,48,58.1,47,47
2011,4,15,Fri,10.51,0.4,0,48,47,58.3,53,46
2011,4,16,Sat,3.8,0.09,0,47,53,58.5,53,56
2011,4,17,Sun,10.51,0.06,0,53,53,58.6,52,46
2011,4,18,Mon,5.82,0.01,0,53,52,58.8,51,57
2011,4,19,Tues,5.82,0.01,0,52,51,59,53,71
2011,4,20,Wed,6.04,0,0,51,53,59.2,54,46
2011,4,21,Thurs,9.62,0,0,53,54,59.4,53,73
2011,4,22,Fri,8.05,0,0,54,53,59.7,57,41
2011,4,23,Sat,7.38,0,0,53,57,59.9,66,75
2011,4,24,Sun,5.82,0,0,57,66,60.1,55,49
2011,4,25,Mon,8.72,0.18,0,66,55,60.3,52,64
2011,4,26,Tues,10.51,0.52,0,55,52,60.5,57,72
2011,4,27,Wed,9.4,0.01,0,52,57,60.7,52,53
2011,4,28,Thurs,12.53,0.45,0,57,52,61,51,59
2011,4,29,Fri,12.08,0.04,0,52,51,61.2,54,48
2011,4,30,Sat,4.92,0,0,51,54,61.4,56,57
2011,5,1,Sun,5.14,0.13,0,54,56,61.6,62,51
2011,5,2,Mon,3.58,0,0,56,62,61.9,53,79
2011,5,3,Tues,9.62,0.18,0,62,53,62.1,58,52
2011,5,4,Wed,8.72,0,0,53,58,62.3,62,82
2011,5,5,Thurs,6.93,0,0,58,62,62.5,57,55
2011,5,6,Fri,8.5,0.03,0,62,57,62.8,54,52
2011,5,7,Sat,8.5,0.13,0,57,54,63,56,75
2011,5,8,Sun,9.17,0.04,0,54,56,63.2,58,66
2011,5,9,Mon,4.92,0.02,0,56,58,63.4,57,53
2011,5,10,Tues,3.36,0,0,58,57,63.6,59,48
2011,5,11,Wed,5.59,0,0,57,59,63.8,51,47
2011,5,12,Thurs,7.83,0.42,0,59,51,64.1,60,74
2011,5,13,Fri,5.59,0,0,51,60,64.3,64,45
2011,5,14,Sat,10.51,0,0,60,64,64.5,66,57
2011,5,15,Sun,8.5,0.97,0,64,66,64.7,51,58
2011,5,16,Mon,9.62,0.81,0,66,51,64.8,56,71
2011,5,17,Tues,12.08,0,0,51,56,65,64,56
2011,5,18,Wed,7.38,0,0,56,64,65.2,66,47
2011,5,19,Thurs,9.62,0,0,64,66,65.4,68,62
2011,5,20,Fri,5.37,0,0,66,68,65.6,70,56
2011,5,21,Sat,4.25,0,0,68,70,65.7,54,75
2011,5,22,Sun,3.58,0.04,0,70,54,65.9,60,85
2011,5,23,Mon,6.71,0,0,54,60,66.1,63,59
2011,5,24,Tues,2.68,0,0,60,63,66.2,65,81
2011,5,25,Wed,6.71,0,0,63,65,66.4,56,76
2011,5,26,Thurs,7.16,0.41,0,65,56,66.5,61,86
2011,5,27,Fri,10.51,0.01,0,56,61,66.7,58,77
2011,5,28,Sat,10.51,0.02,0,61,58,66.8,62,56
2011,5,29,Sun,7.16,0.01,0,58,62,67,59,67
2011,5,30,Mon,6.71,0,0,62,59,67.1,61,75
2011,5,31,Tues,6.71,0,0,59,61,67.3,61,74
2011,6,1,Wed,5.82,0.11,0,61,61,67.4,59,53
2011,6,2,Thurs,5.82,0.17,0,61,59,67.6,61,59
2011,6,3,Fri,10.74,0.08,0,59,61,67.7,68,74
2011,6,4,Sat,8.72,0,0,61,68,67.9,78,60
2011,6,5,Sun,9.62,0,0,68,78,68,71,86
2011,6,6,Mon,3.8,0,0,78,71,68.2,72,49
2011,6,7,Tues,8.28,0,0,71,72,68.3,64,72
2011,6,8,Wed,12.97,0.21,0,72,64,68.5,62,88
2011,6,9,Thurs,7.38,0,0,64,62,68.6,69,54
2011,6,10,Fri,4.7,0,0,62,69,68.8,65,61
2011,6,11,Sat,5.59,0,0,69,65,69,66,60
2011,6,12,Sun,3.58,0,0,65,66,69.1,70,71
2011,6,13,Mon,5.59,0.01,0,66,70,69.3,68,64
2011,6,14,Tues,12.08,0.11,0,70,68,69.5,63,85
2011,6,15,Wed,8.5,0,0,68,63,69.7,65,74
2011,6,16,Thurs,4.7,0.06,0,63,65,69.8,70,74
2011,6,17,Fri,5.59,0,0,65,70,70,71,54
2011,6,18,Sat,3.36,0,0,70,71,70.2,58,62
2011,6,19,Sun,5.82,0.41,0,71,58,70.4,63,84
2011,6,20,Mon,6.93,0.03,0,58,63,70.6,70,76
2011,6,21,Tues,3.13,0,0,63,70,70.8,78,77
2011,6,22,Wed,3.58,0,0,70,78,71,67,81
2011,6,23,Thurs,6.93,0,0,78,67,71.3,66,82
2011,6,24,Fri,8.05,0.07,0,67,66,71.5,67,88
2011,6,25,Sat,5.37,0.26,0,66,67,71.7,68,62
2011,6,26,Sun,6.04,0.01,0,67,68,71.9,72,53
2011,6,27,Mon,5.14,0,0,68,72,72.2,69,91
2011,6,28,Tues,2.24,0,0,72,69,72.4,74,66
2011,6,29,Wed,6.93,0,0,69,74,72.6,67,86
2011,6,30,Thurs,14.76,0,0,74,67,72.8,67,92
2011,7,1,Fri,10.07,0,0,67,67,73.1,72,72
2011,7,2,Sat,5.82,0,0,67,72,73.3,82,91
2011,7,3,Sun,6.26,0,0,72,82,73.5,72,85
2011,7,4,Mon,9.84,0,0,82,72,73.8,78,78
2011,7,5,Tues,8.28,0,0,72,78,74,81,55
2011,7,6,Wed,9.4,0,0,78,81,74.2,84,62
2011,7,7,Thurs,7.83,0,0,81,84,74.4,67,65
2011,7,8,Fri,9.62,0.03,0,84,67,74.6,71,75
2011,7,9,Sat,8.95,0,0,67,71,74.9,74,58
2011,7,10,Sun,8.05,0,0,71,74,75.1,76,87
2011,7,11,Mon,5.14,0,0,74,76,75.3,75,88
2011,7,12,Tues,5.37,0,0,76,75,75.4,70,57
2011,7,13,Wed,4.92,0.08,0,75,70,75.6,73,83
2011,7,14,Thurs,8.28,0,0,70,73,75.8,62,63
2011,7,15,Fri,6.93,0.02,0,73,62,76,76,60
2011,7,16,Sat,4.47,0.02,0,62,76,76.1,74,62
2011,7,17,Sun,5.59,0.35,0,76,74,76.3,63,86
2011,7,18,Mon,4.25,0.07,0,74,63,76.4,74,74
2011,7,19,Tues,5.14,0,0,63,74,76.6,70,82
2011,7,20,Wed,9.17,0,0,74,70,76.7,74,80
2011,7,21,Thurs,8.28,0,0,70,74,76.8,70,60
2011,7,22,Fri,12.53,0,0,74,70,76.9,72,59
2011,7,23,Sat,6.49,0,0,70,72,77,79,73
2011,7,24,Sun,9.62,0,0,72,79,77.1,83,82
2011,7,25,Mon,7.38,0,0,79,83,77.1,63,95
2011,7,26,Tues,6.04,0.13,0,83,63,77.2,70,85
2011,7,27,Wed,7.61,0,0,63,70,77.3,72,67
2011,7,28,Thurs,6.93,0,0,70,72,77.3,78,63
2011,7,29,Fri,8.5,0,0,72,78,77.3,76,86
2011,7,30,Sat,9.62,0,0,78,76,77.3,79,71
2011,7,31,Sun,7.38,0,0,76,79,77.4,71,89
2011,8,1,Mon,9.4,0,0,79,71,77.4,77,85
2011,8,2,Tues,7.61,0,0,71,77,77.4,77,81
2011,8,3,Wed,4.25,0,0,77,77,77.3,79,68
2011,8,4,Thurs,5.14,0,0,77,79,77.3,81,91
2011,8,5,Fri,6.71,0,0,79,81,77.3,66,77
2011,8,6,Sat,4.92,0,0,81,66,77.2,73,78
2011,8,7,Sun,3.13,0,0,66,73,77.2,74,78
2011,8,8,Mon,3.8,0,0,73,74,77.1,70,85
2011,8,9,Tues,6.71,0,0,74,70,77.1,70,84
2011,8,10,Wed,5.82,0,0,70,70,77,71,92
2011,8,11,Thurs,4.92,0,0,70,71,76.9,74,65
2011,8,12,Fri,3.58,0,0,71,74,76.9,76,74
2011,8,13,Sat,4.03,0,0,74,76,76.8,70,60
2011,8,14,Sun,5.82,0,0,76,70,76.7,71,94
2011,8,15,Mon,6.04,0,0,70,71,76.6,74,94
2011,8,16,Tues,5.37,0,0,71,74,76.5,78,60
2011,8,17,Wed,8.5,0,0,74,78,76.4,77,69
2011,8,18,Thurs,6.26,0,0,78,77,76.3,73,81
2011,8,19,Fri,6.49,0,0,77,73,76.2,78,63
2011,8,20,Sat,9.17,0,0,73,78,76.1,85,72
2011,8,21,Sun,6.04,0,0,78,85,75.9,87,62
2011,8,22,Mon,4.92,0,0,85,87,75.8,71,90
2011,8,23,Tues,9.62,0.12,0,87,71,75.7,77,59
2011,8,24,Wed,5.14,0,0,71,77,75.5,84,89
2011,8,25,Thurs,5.82,0,0,77,84,75.4,82,74
2011,8,26,Fri,6.26,0,0,84,82,75.3,84,67
2011,8,27,Sat,6.71,0,0,82,84,75.1,84,65
2011,8,28,Sun,6.49,0,0,84,84,75,80,66
2011,8,29,Mon,4.92,0,0,84,80,74.8,70,84
2011,8,30,Tues,6.93,0,0,80,70,74.6,69,90
2011,8,31,Wed,4.92,0.01,0,70,69,74.4,69,57
2011,9,1,Thurs,4.92,0,0,69,69,74.3,73,57
2011,9,2,Fri,6.04,0,0,69,73,74.1,71,92
2011,9,3,Sat,6.93,0,0,73,71,73.9,82,80
2011,9,4,Sun,10.96,0,0,71,82,73.7,83,63
2011,9,5,Mon,3.8,0,0,82,83,73.5,82,84
2011,9,6,Tues,3.8,0,0,83,82,73.3,84,63
2011,9,7,Wed,5.37,0,0,82,84,73,83,67
2011,9,8,Thurs,7.61,0,0,84,83,72.8,85,60
2011,9,9,Fri,2.91,0,0,83,85,72.6,85,67
2011,9,10,Sat,4.92,0,0,85,85,72.3,84,61
2011,9,11,Sun,6.26,0,0,85,84,72.1,85,81
2011,9,12,Mon,5.14,0,0,84,85,71.8,68,89
2011,9,13,Tues,6.93,0,0,85,68,71.5,64,62
2011,9,14,Wed,3.8,0,0,68,64,71.2,67,71
2011,9,15,Thurs,2.68,0,0,64,67,71,65,58
2011,9,16,Fri,8.28,0,0,67,65,70.7,64,54
2011,9,17,Sat,4.25,0,0,65,64,70.3,62,65
2011,9,18,Sun,8.5,0.2,0,64,62,70,65,60
2011,9,19,Mon,5.82,0.28,0,62,65,69.7,69,82
2011,9,20,Tues,7.16,0.01,0,65,69,69.4,77,68
2011,9,21,Wed,3.36,0,0,69,77,69,76,84
2011,9,22,Thurs,5.59,0,0,77,76,68.7,76,66
2011,9,23,Fri,5.82,0,0,76,76,68.3,80,62
2011,9,24,Sat,6.49,0,0,76,80,68,75,87
2011,9,25,Sun,5.14,0,0,80,75,67.6,67,82
2011,9,26,Mon,11.41,0.19,0,75,67,67.2,61,59
2011,9,27,Tues,9.62,0.59,0,67,61,66.8,65,81
2011,9,28,Wed,9.17,0.01,0,61,65,66.5,65,74
2011,9,29,Thurs,10.51,0,0,65,65,66.1,77,82
2011,9,30,Fri,4.25,0,0,65,77,65.7,65,80
2011,10,1,Sat,6.93,0.01,0,77,65,65.3,59,78
2011,10,2,Sun,3.8,0.02,0,65,59,64.9,64,80
2011,10,3,Mon,4.47,0.37,0,59,64,64.5,62,60
2011,10,4,Tues,6.04,0.1,0,64,62,64.1,63,70
2011,10,5,Wed,6.26,0.05,0,62,63,63.7,55,74
2011,10,6,Thurs,3.8,0.09,0,63,55,63.3,58,53
2011,10,7,Fri,3.58,0.11,0,55,58,62.9,55,81
2011,10,8,Sat,5.37,0.06,0,58,55,62.5,65,79
2011,10,9,Sun,4.92,0.02,0,55,65,62.1,60,77
2011,10,10,Mon,4.7,0.1,0,65,60,61.8,59,67
2011,10,11,Tues,6.71,0.25,0,60,59,61.4,59,72
2011,10,12,Wed,13.42,0.89,0,59,59,61,59,41
2011,10,13,Thurs,8.95,0,0,59,59,60.6,59,46
2011,10,14,Fri,7.61,0,0,59,59,60.2,58,59
2011,10,15,Sat,8.05,0.01,0,59,58,59.9,57,66
2011,10,16,Sun,6.71,0,0,58,57,59.5,50,45
2011,10,17,Mon,3.58,0,0,57,50,59.1,61,76
2011,10,18,Tues,5.82,0,0,50,61,58.8,67,54
2011,10,19,Wed,7.61,0,0,61,67,58.4,59,75
2011,10,20,Thurs,7.16,0,0,67,59,58.1,59,60
2011,10,21,Fri,4.47,0,0,59,59,57.8,58,70
2011,10,22,Sat,8.95,0.12,0,59,58,57.4,60,66
2011,10,23,Sun,10.29,0.58,0,58,60,57.1,57,59
2011,10,24,Mon,3.8,0,0,60,57,56.8,57,59
2011,10,25,Tues,3.8,0,0,57,57,56.5,54,74
2011,10,26,Wed,4.92,0,0,57,54,56.2,50,53
2011,10,27,Thurs,5.82,0.02,0,54,50,55.9,54,47
2011,10,28,Fri,5.82,0,0,50,54,55.6,54,70
2011,10,29,Sat,6.71,0.5,0,54,54,55.3,56,53
2011,10,30,Sun,4.7,0,0,54,56,55,57,51
2011,10,31,Mon,9.17,0.16,0,56,57,54.8,53,47
2011,11,1,Tues,5.14,0,0,57,53,54.5,52,48
2011,11,2,Wed,2.24,0,0,53,52,54.2,52,45
2011,11,3,Thurs,7.83,0.35,0,52,52,53.9,52,62
2011,11,4,Fri,6.93,0,0,52,52,53.7,44,40
2011,11,5,Sat,5.82,0.05,0,52,44,53.4,50,66
2011,11,6,Sun,5.14,0,0,44,50,53.2,49,43
2011,11,7,Mon,3.36,0,0,50,49,52.9,49,45
2011,11,8,Tues,7.83,0.01,0,49,49,52.7,55,66
2011,11,9,Wed,4.47,0,0,49,55,52.4,62,42
2011,11,10,Thurs,8.05,0,0,55,62,52.2,59,71
2011,11,11,Fri,5.82,0,0,62,59,51.9,51,45
2011,11,12,Sat,9.4,0.23,0,59,51,51.7,49,56
2011,11,13,Sun,10.51,0.25,0,51,49,51.4,49,62
2011,11,14,Mon,14.99,0.02,0,49,49,51.2,47,43
2011,11,15,Tues,8.72,0,0,49,47,51,48,49
2011,11,16,Wed,5.14,0,0,47,48,50.7,52,40
2011,11,17,Thurs,10.51,0.49,0,48,52,50.5,48,66
2011,11,18,Fri,14.99,0.28,0,52,48,50.3,39,50
2011,11,19,Sat,5.37,0.08,0,48,39,50,41,38
2011,11,20,Sun,6.04,0,0,39,41,49.8,39,51
2011,11,21,Mon,3.36,0,0,41,39,49.5,50,48
2011,11,22,Tues,11.63,0.3,0,39,50,49.3,52,37
2011,11,23,Wed,14.54,1.76,0,50,52,49.1,53,58
2011,11,24,Thurs,10.51,0.55,0,52,53,48.9,45,37
2011,11,25,Fri,12.75,0.26,0,53,45,48.6,48,54
2011,11,26,Sat,7.16,0,0,45,48,48.4,51,59
2011,11,27,Sun,2.68,0.02,0,48,51,48.2,56,41
2011,11,28,Mon,12.3,0.42,0,51,56,48,48,32
2011,11,29,Tues,4.03,0,0,56,48,47.8,44,57
2011,11,30,Wed,7.61,0.09,0,48,44,47.6,45,41
2011,12,1,Thurs,7.16,0,0,44,45,47.4,41,43
2011,12,2,Fri,2.91,0,0,45,41,47.2,44,37
2011,12,3,Sat,3.58,0.01,0,41,44,47,42,54
2011,12,4,Sun,2.24,0,0,44,42,46.8,43,60
2011,12,5,Mon,6.49,0,0,42,43,46.6,42,66
2011,12,6,Tues,4.03,0,0,43,42,46.4,38,41
2011,12,7,Wed,3.8,0,0,42,38,46.3,41,32
2011,12,8,Thurs,5.14,0,0,38,41,46.1,40,34
2011,12,9,Fri,7.38,0,0,41,40,46,40,49
2011,12,10,Sat,2.68,0,0,40,40,45.9,40,53
2011,12,11,Sun,4.25,0,0,40,40,45.7,40,62
2011,12,12,Mon,5.82,0.02,0,40,40,45.6,39,43
2011,12,13,Tues,7.61,0,0,40,39,45.5,41,41
2011,12,14,Wed,3.8,0,0,39,41,45.4,40,56
2011,12,15,Thurs,4.25,0,0,41,40,45.3,44,39
2011,12,16,Fri,4.03,0.03,0,40,44,45.3,49,36
2011,12,17,Sat,4.47,0,0,44,49,45.2,50,29
2011,12,18,Sun,5.14,0,0,49,50,45.2,46,58
2011,12,19,Mon,4.25,0.19,0,50,46,45.1,46,43
2011,12,20,Tues,2.91,0,0,46,46,45.1,44,51
2011,12,21,Wed,5.59,0,0,46,44,45.1,45,51
2011,12,22,Thurs,3.8,0,0,44,45,45.1,38,25
2011,12,23,Fri,4.03,0,0,45,38,45.1,49,39
2011,12,24,Sat,5.82,0.02,0,38,49,45.1,52,30
2011,12,25,Sun,4.03,0,0,49,52,45.1,50,37
2011,12,26,Mon,13.2,0.03,0,52,50,45.2,42,49
2011,12,27,Tues,6.93,0.05,0,50,42,45.2,51,52
2011,12,28,Wed,7.61,0.9,0,42,51,45.3,53,42
2011,12,29,Thurs,16.33,0.63,0,51,53,45.3,51,63
